Id,Nation,Nom,Ingredients,GoodAdress,History,CreationDate,Price,Diet,link
130,Slovakia,Bryndzové halušky,"Gnocchis, bryndza, beurre, lardons (option)",La Table Bryndzové halušky — Slovakia,"Bryndzové halušky est un plat traditionnel associé à Slovakia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,6.75,Végétarien,https://www.196flavors.com/fr/?s=Bryndzov%C3%A9+halu%C5%A1ky
131,Slovenia,Kranjska klobasa,"Saucisse, moutarde, pain",L'Auberge Kranjska klobasa — Slovenia,"Kranjska klobasa est un plat traditionnel associé à Slovenia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,9,Viande,https://www.196flavors.com/fr/?s=Kranjska+klobasa
132,Sweden,Köttbullar,"Boulettes, bœuf/porc, crème, airelles",La Brasserie Köttbullar — Sweden,"Köttbullar est un plat traditionnel associé à Sweden. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,2,Viande,https://www.196flavors.com/fr/?s=K%C3%B6ttbullar
133,Swaziland,Sishwala,"Bouillie de maïs, eau, sel, légumes en accompagnement",Teranga Sishwala — Swaziland,"Sishwala est un plat traditionnel associé à Swaziland. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,1.25,Végétarien,https://www.196flavors.com/fr/?s=Sishwala
134,Syria,Fatteh,"Pain pita, pois chiches, yaourt, tahini, pignons",Jade Fatteh — Syria,"Fatteh est un plat traditionnel associé à Syria. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,6,Végétarien,https://www.196flavors.com/fr/?s=Fatteh
135,Chad,Jarret de bœuf sauce,"Bœuf, tomate, oignon, gombo, épices",Le Baobab Jarret de bœuf sauce — Chad,"Jarret de bœuf sauce est un plat traditionnel associé à Chad. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,8,Viande halal,https://www.196flavors.com/fr/?s=Jarret+de+b%C5%93uf+sauce
136,Togo,Fufu & sauce arachide,"Manioc/banane plantain, sauce arachide, tomate, oignon",Le Sahel Fufu & sauce arachide — Togo,"Fufu & sauce arachide est un plat traditionnel associé à Togo. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,4.5,Végétarien,https://www.196flavors.com/fr/?s=Fufu+%26+sauce+arachide
137,Thailand,Pad thai,"Nouilles riz, œuf, tofu, cacahuètes, sauce tamarin (option crevettes)","Golden Wok Pad thai — Bangkok, Thailand","Pad thai est un plat traditionnel associé à Thailand. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,7,Poisson,https://www.196flavors.com/fr/?s=Pad+thai
138,Tajikistan,Osh (plov),"Riz, carotte, oignon, agneau, épices",Golden Wok Osh (plov) — Tajikistan,"Osh (plov) est un plat traditionnel associé à Tajikistan. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,4.5,Viande halal,https://www.196flavors.com/fr/?s=Osh+%28plov%29
139,Turkmenistan,Ichlekli,"Tourte, viande, oignon, pâte",Maison du Levant Ichlekli — Turkmenistan,"Ichlekli est un plat traditionnel associé à Turkmenistan. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,3.5,Viande halal,https://www.196flavors.com/fr/?s=Ichlekli
140,Timor-Leste,Ikan sabuko,"Poisson, tamarin, épices, légumes",Maison du Levant Ikan sabuko — Timor-Leste,"Ikan sabuko est un plat traditionnel associé à Timor-Leste. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,2,Poisson,https://www.196flavors.com/fr/?s=Ikan+sabuko
141,Tunisia,Couscous tunisien,"Semoule, légumes, harissa, pois chiches, viande (option)","Le Baobab Couscous tunisien — Tunis, Tunisia","Couscous tunisien est un plat traditionnel associé à Tunisia. On le retrouve lors des repas familiaux et des occasions spéciales, avec des variantes selon les régions et les saisons.",Traditionnel,2,Viande halal,https://www.196flavors.com/fr/?s=Couscous+tunisien
142,Turkey,Lahmacun,"Pâte à pain, viande hachée, poivrons (vert ou rouge), tomates, oignons et épices","Güneşlibahçe Sok. No:26, Caferağa, 34710 Kadıköy/İstanbul, Türkiye","Le lahmacun puise ses origines au cœur du Moyen-Orient. Cette spécialité tant appréciée se consomme déjà par les Assyriens deux mille ans avant J.-C. Des marchands grecs se laissent séduire par cette recette unique et la rapportent dans leur propre pays. Littéralement, lahmacun provient des termes arabes « lahm » (viande) et « macun » (pâte).",2000ans av J-C,1.25,Viande halal,https://www.amourdecuisine.fr/article-lahmacun-recette-authentique-de-pizza-turque.html
143,Taiwan,Beef Noodle Soup,"Bœuf braisé, nouilles de blé, bouillon (sauce soja, pâte de haricots fermentés, ail, gingembre, anis étoilé), légumes verts, coriandre","Din Tai Fung — Taipei, Taiwan","La Beef Noodle Soup est l’un des plats nationaux les plus emblématiques de Taïwan. Introduite par des soldats chinois du Sichuan après 1949, elle a évolué localement pour devenir une spécialité taïwanaise. Le bouillon riche et épicé, combiné au bœuf tendre et aux nouilles épaisses, en fait un plat profondément ancré dans la culture culinaire du pays. Un festival annuel de la soupe de nouilles au bœuf est même organisé à Taipei.","Années 1950, Taipei, Taiwan",4.5,Viande,https://www.196flavors.com/fr/?s=Beef+Noodle+Soup
144,Tanzania,Ugali,"Maïs moulu, eau, sel, parfois haricots ou légumes","Le Repère — Dar es Salaam, Tanzanie","L'ugali est l’aliment de base en Tanzanie et dans toute l’Afrique de l’Est. Préparé à partir de farine de maïs et d’eau, il accompagne traditionnellement divers ragoûts et sauces.",XIXᵉ siècle approximatif,7.5,Autre,https://www.196flavors.com/fr/?s=Ugali
145,Uganda,Matooke (matoke),"Bananes plantains vertes, huile, oignons, tomate","Mucho Bar & Grill — Kampala, Ouganda","Le matooke est un plat traditionnel ougandais fait à base de bananes plantains vertes cuites à la vapeur ou bouillies, souvent réduites en purée et servies avec une sauce.",Culture traditionnelle,15,Végétarien,https://www.196flavors.com/fr/?s=Matooke+%28matoke%29
146,Ukraine,Borscht,"Betterave, chou, carottes, pommes de terre, viande (souvent bœuf), crème aigre","Kanapa — Kiev, Ukraine","Le borscht est une soupe de betterave riche et colorée, emblématique de la cuisine ukrainienne, consommée chaude ou froide et généralement servie avec de la crème aigre.",XVIIIᵉ siècle,3,Viande,https://www.196flavors.com/fr/?s=Borscht
147,Uruguay,Chivito,"Steak de bœuf tranché, jambon, fromage, laitue, tomates, œufs, sauces","La Pasiva — Montevideo, Uruguay","Le chivito est un sandwich très populaire en Uruguay, garni de steak, de jambon, de fromage et souvent complété d’ingrédients variés.",Il est considéré comme le plat national informel.,9,Viande,https://www.196flavors.com/fr/?s=Chivito
148,Uzbekistan,Plov,"Riz, mouton ou bœuf, carottes, oignons, ail, cumin","Caravan — Tachkent, Ouzbékistan","Le plov, ou osh, est un plat de riz traditionel d’Ouzbékistan, souvent préparé avec de la viande et des épices, cuit lentement pour développer des saveurs riches.",Populaire depuis des siècles,11.5,Viande halal,https://www.196flavors.com/fr/?s=Plov
149,Venezuela,Pabellón Criollo,"Riz blanc, haricots noirs, bœuf effiloché, plantains frits","La Casa del Llano — Caracas, Venezuela","Le Pabellón Criollo est considéré comme le plat national vénézuélien, combinant des éléments de riz, haricots, viande et plantains, symbole de la diversité culinaire locale.",XXᵉ siècle,6,Viande,https://www.196flavors.com/fr/?s=Pabell%C3%B3n+Criollo
150,Vietnam,Pho,"Riz, bœuf ou poulet, bouillon aromatique (gingembre, oignon, épices), herbes fraîches","Phở 2000 — Hô Chi Minh-Ville, Vietnam","Le phở est une soupe de nouilles vietnamienne emblématique, avec un bouillon clair parfumé et des herbes fraîches, consommée toute la journée.",XIXᵉ siècle,14,Poissons/Viande,https://www.196flavors.com/fr/?s=Pho
151,Yemen,Saltah,"Flans de viande (agneau/bœuf), légumes, fenugrec, sahawiq (sauce piquante)","Al-Mashrabiya — Sana’a, Yémen","Le saltah est souvent considéré comme le plat national yéménite, une sorte de ragoût servi avec du pain et une sauce piquante sahawiq, riche et épicée.",Tradition ancienne,16,Viande halal,https://www.196flavors.com/fr/?s=Saltah
152,Zambia,Nshima,"Maïs moulu, eau, sel","Café Zambezi — Lusaka, Zambie","Le nshima est la base de l’alimentation zambienne, similaire à l’ugali, consommé avec des sauces, viandes ou légumes.",Tradition locale,9,Autre,https://www.196flavors.com/fr/?s=Nshima
153,Zimbabwe,Sadza,"Maïs moulu, eau, sel","Chesa Nyama — Harare, Zimbabwe","Le sadza est l’aliment de base au Zimbabwe, une pâte de maïs servie avec des sauces, légumes ou viandes en accompagnement, consommée quotidiennement.",Tradition locale,14,Autre,https://www.196flavors.com/fr/?s=Sadza
154,Somalia,Canjeero,"Farine, eau, levain léger, sel","Makaahiil Restaurant — Mogadiscio, Somalie","La canjeero (ou laxoox) est une sorte de crêpe légère, consommée au petit-déjeuner ou comme base pour d’autres plats, très répandue dans la cuisine somalienne.",Culture ancienne,2,Végétarien,https://www.196flavors.com/fr/?s=Canjeero
155,Kosovo,Flija,"Crêpe de farine, œufs, beurre, crème, yaourt","Te Syla — Prishtina, Kosovo","Le flija est un plat traditionnel composé de couches de pâte versées et cuites lentement au feu, souvent servies avec du yaourt ou du miel, très populaire au Kosovo.",Culture traditionnelle,8.5,Végétarien,https://www.196flavors.com/fr/?s=Flija
156,SouthAfrica,Bobotie,"Hachis de viande, lait, curry, pain, raisins secs","Mojo Market — Cape Town, Afrique du Sud","Le bobotie est un plat d’origine sud-africaine, mélangeant viande hachée épicée cuite au four avec une garniture à base d’œufs et de lait.",Cape colonial,5,Viande,https://www.196flavors.com/fr/?s=Bobotie
157,NewZealand,Hangi,"Viande (souvent agneau/poulet), légumes, feuilles, pierres chaudes","Gilmer’s Hangi Experience — Rotorua, NZ",Le hangi est une méthode maorie de cuisson enterrée utilisant des pierres chaudes ; c’est une tradition culinaire emblématique de Nouvelle-Zélande.,Coutume traditionnelle,6,Viande,https://www.196flavors.com/fr/?s=Hangi
158,Chile,Empanadas,"Pâte de blé, viande, œufs, olives, oignons","La Piojera — Santiago, Chili","Les empanadas chiliennes sont de petites pâtisseries salées, souvent farcies de viande, œufs et olives, très populaires dans toute la région.",Colonisation espagnole,9,Viande,https://www.196flavors.com/fr/?s=Empanadas
159,Netherlands,Stamppot,"Purée de pomme de terre, chou kale/poiresau, saucisse fumée","De Stamppot — Amsterdam, Pays-Bas",Le stamppot est un plat hollandais traditionnel composé de purée de pommes de terre mélangée à des légumes et accompagné de saucisses.,Cuisine paysanne,11.5,Viande,https://www.196flavors.com/fr/?s=Stamppot
160,Portugal,Bacalhau à Gomes de Sá,"Morue, pommes de terre, oignons, olives, huile d’olive","O Taberna Portuguesa — Lisbonne, Portugal","Le bacalhau à Gomes de Sá est une préparation traditionnelle portugaise de morue salée avec pommes de terre et oignons, l’un des plats nationaux les plus célèbres.",XIXᵉ siècle,7.5,Poissons,https://www.196flavors.com/fr/?s=Bacalhau+%C3%A0+Gomes+de+S%C3%A1
161,RussianFederation,Borscht,"Betterave, chou, carottes, pommes de terre, viande/crème","Dr. Zhivago — Moscou, Russie","Le borscht est une soupe emblématique consommée en Russie et en Ukraine, avec une base de betterave sucrée et des légumes.",XVIIIᵉ siècle,9,Viande,https://www.196flavors.com/fr/?s=Borscht
162,Spain,Paella,"Riz, safran, poulet, lapin, fruits de mer, légumes","La Barraca — Valence, Espagne","La paella valencienne est un plat de riz traditionnel espagnol à base de safran, viandes et fruits de mer, symbole de la gastronomie espagnole.",XIXᵉ siècle,10,Poissons/Viande,https://www.196flavors.com/fr/?s=Paella
163,France,Cassoulet,"Haricots blancs, confit de canard, porc, saucisse","Taillevent — Paris, France","Le cassoulet est un ragoût traditionnel du Sud-Ouest français, riche en haricots et viandes, représentatif de la gastronomie régionale.",XVIIIᵉ siècle,20,Viande,https://www.196flavors.com/fr/?s=Cassoulet
164,UnitedStates,Hamburger,"Bœuf haché, pain, fromage, laitue, tomates","Shake Shack — New York, États-Unis","Le hamburger est l’un des plats les plus iconiques des États-Unis, avec une galette de bœuf grillée servie dans un pain avec garnitures.",XXᵉ siècle,5.5,Viande,https://www.196flavors.com/fr/?s=Hamburger
165,FrenchGuiana,Awara broth,"Fruit d’awara, viande, poisson, légumes","Le Relais de Guyane — Cayenne, Guyane française","L’awara est une soupe traditionnelle guyanaise à base du fruit d’awara et de viandes/poissons, souvent servie lors de fêtes.",Tradition locale,9,Viande/Poisson,https://www.196flavors.com/fr/?s=Awara+broth
166,Aruba,Pan bati,"Farine de maïs, farine de blé, sucre, œufs","West Deck — Oranjestad, Aruba","Le pan bati est une galette traditionnelle arubaise, souvent servie avec du poisson ou de la viande.",Culture locale,20,Végétarien,https://www.196flavors.com/fr/?s=Pan+bati
167,Anguilla,Rum Punch & Grilled fish,"Rhum, jus de fruits / Poisson grillé frais",Lake House Restaurant — Anguilla,"Rhum punch et poisson grillé sont représentatifs de la cuisine caribéenne d’Anguilla, souvent simples et savoureux.",Tradition locale,11.5,Poissons/Viande,https://blog.remitly.com/lifestyle-culture/national-dishes-around-the-world-guide/
168,AmericanSamoa,Palusami,"Taro leaves, lait de coco, viande/thon","Robert’s Western Samoa — Pago Pago, Samoa américaines","Le palusami est une préparation de feuilles de taro cuite au lait de coco et souvent remplie de viande ou de poisson, populaire dans les îles du Pacifique.",Tradition polynésienne,14,Viande/Poisson,https://www.196flavors.com/fr/?s=Palusami
169,AntiguaAndBarbuda,Fungee and Pepperpot,"Cornmeal (funnel), okra, épices, viande","The Caribbean — Saint John’s, Antigua et Barbuda","Le fungee (fungee) est un accompagnement de maïs servi avec le pepperpot, un ragoût épicé traditionnel de l’île.",Culture insulaire,16,Viande,https://www.196flavors.com/fr/?s=Fungee+and+Pepperpot
170,Bahrain,Machboos,"Riz, épices, viande (agneau/poulet), légumes","Saffron — Manama, Bahreïn","Le machboos est un plat bahraini de riz épicé cuit avec viande et légumes, parfumé au safran et épices locales.",Ancienne tradition,20,Viande halal,https://www.196flavors.com/fr/?s=Machboos
171,Bahamas,Conch Salad,"Conque (fruit de mer), tomates, citron, piment","Graycliff Restaurant — Nassau, Bahamas","La salade de conque est un plat de fruits de mer frais, représentatif de la cuisine des Bahamas, souvent servi froid.",Tradition marine,5,Poissons,https://www.196flavors.com/fr/?s=Conch+Salad
172,Saint-Barthélemy,Accras de morue,"Chiquetaille de morue, farine, épices","Bonito St Barth — Gustavia, Saint-Barthélemy","Les accras de morue sont des beignets de poisson épicés populaires dans les Caraïbes, dont Saint-Barthélemy.",Tradition caribéenne,9,Poissons,https://www.196flavors.com/fr/?s=Accras+de+morue
173,Bermuda,Fish Chowder,"Poisson, tomates, épices, herbes","Champion Bermuda — Hamilton, Bermudes","La fish chowder est une soupe de poisson épicée, considérée comme un plat emblématique des Bermudes.",Tradition coloniale,8,Poissons,https://www.196flavors.com/fr/?s=Fish+Chowder
174,Barbados,Cou-Coup and Flying Fish,"Cou-coup (semoule), poisson volant, légumes","The Fish Pot — Bridgetown, Barbade","Le cou-coup accompagné de flying fish est un plat national barbadien, combinant semoule et poisson local.",Tradition insulaire,9,Poissons,https://www.196flavors.com/fr/?s=Cou-Coup+and+Flying+Fish
175,Comoros,Langouste à la vanille,"Langouste, vanille, huile, herbes locales","La Kaz Crabe — Moroni, Comores","La langouste à la vanille est un plat traditionnel des Comores, associant le fruit de mer local avec la vanille locale pour une saveur unique.",Tradition locale,7.5,Viande halal,https://www.196flavors.com/fr/?s=Langouste+%C3%A0+la+vanille
176,CapeVerde,Cachupa,"Maïs, haricots, patate douce, manioc, chou, saucisse ou poisson","Restaurante Nice — Mindelo, Cap-Vert","La cachupa est le plat national du Cap-Vert. Ce ragoût mijoté combine maïs, haricots et légumes, parfois enrichi de viande ou de poisson. Il reflète l’histoire agricole et coloniale de l’archipel.",XVIIIᵉ siècle,2,Viande/Poisson,https://www.196flavors.com/fr/?s=Cachupa
177,Curaçao,Stoba,"Bœuf ou chèvre, tomates, oignons, poivrons, épices","Plasa Bieu — Willemstad, Curaçao","Le stoba est un ragoût traditionnel de Curaçao, mijoté lentement avec des épices caribéennes.",Tradition locale,4.5,Viande,https://www.196flavors.com/fr/?s=Stoba
178,CaymanIslands,Turtle Stew,"Viande de tortue, tomates, oignons, piments","Vivine’s Kitchen — Grand Cayman, Îles Caïmans","Le turtle stew est un plat historique des îles Caïmans, autrefois symbole de subsistance maritime.",XIXᵉ siècle,7.5,Viande,https://www.196flavors.com/fr/?s=Turtle+Stew
179,Cyprus,Souvla,"Agneau ou porc, sel, origan, citron","To Katoi — Nicosie, Chypre","La souvla est une grande brochette de viande grillée au feu de bois, plat festif traditionnel chypriote.",Antiquité méditerranéenne,16,Viande,https://www.196flavors.com/fr/?s=Souvla
180,Dominica,Mountain Chicken (crapaud),"Grenouille géante, ail, citron, épices","Old Stone Grill — Roseau, Dominique","Le “mountain chicken” est un plat traditionnel dominicain à base de grenouille locale, aujourd’hui protégé en raison de sa rareté.",Tradition locale,9,Viande,https://www.196flavors.com/fr/?s=Mountain+Chicken+%28crapaud%29
181,FalklandIslands,Roast Mutton,"Mouton, pommes de terre, légumes","Malvina House — Stanley, Falkland Islands",Le rôti de mouton est un plat traditionnel reflétant l’élevage ovin dominant sur les îles.,XIXᵉ siècle,3.5,Viande,https://www.196flavors.com/fr/?s=Roast+Mutton
182,FaeroeIslands,Skerpikjøt,Agneau fermenté séché,"Barbara Fish House — Tórshavn, Îles Féroé","Le skerpikjøt est de l’agneau séché et fermenté au vent marin, spécialité ancestrale féroïenne.","Viking, IXᵉ siècle",11.5,Viande,https://www.196flavors.com/fr/?s=Skerpikj%C3%B8t
183,FederatedStatesOfMicronesia,Pwo (breadfruit dish),"Fruit à pain, lait de coco, poisson","Restaurant Ocean View — Pohnpei, Micronésie","Le fruit à pain est un aliment de base micronésien, souvent préparé avec lait de coco et poisson.",Tradition ancestrale,8,Poissons,https://www.196flavors.com/fr/?s=Pwo+%28breadfruit+dish%29
184,Grenada,Oil Down,"Fruit à pain, lait de coco, poulet salé, épices","BB’s Crabback — St. George’s, Grenade","L’oil down est le plat national de Grenade, ragoût riche au lait de coco et fruit à pain.",Tradition caribéenne,15,Viande/Poisson,https://www.196flavors.com/fr/?s=Oil+Down
185,Guam,Kadon Pika,"Poulet, sauce soja, vinaigre, piment","Meskla — Tumon, Guam","Le kadon pika est un ragoût chamorro épicé, très populaire à Guam.",Tradition chamorro,9,Viande,https://www.196flavors.com/fr/?s=Kadon+Pika
186,SaintKittsAndNevis,Goat Water,"Chèvre, pain, légumes, épices","Marshall’s — Basseterre, Saint-Kitts-et-Nevis","Le goat water est un ragoût épicé de chèvre, considéré comme plat national.",XVIIIᵉ siècle,14,Viande,https://www.196flavors.com/fr/?s=Goat+Water
187,SaintLucia,Green Fig and Saltfish,"Banane verte, morue salée, oignons","The Coal Pot — Castries, Sainte-Lucie","Plat national de Sainte-Lucie, mélangeant banane verte et morue salée.",Tradition coloniale,9,Poissons,https://www.196flavors.com/fr/?s=Green+Fig+and+Saltfish
188,SaintMartin,Johnny Cake,"Farine, sucre, beurre, lait","Le Cottage — Grand Case, Saint-Martin","Le johnny cake est un petit pain frit ou cuit au four, très répandu dans les Caraïbes.",Tradition caribéenne,11,Végétarien,https://www.196flavors.com/fr/?s=Johnny+Cake
189,Maldives,Mas Huni,"Thon, noix de coco, oignons, piment, citron","Seagull Café — Malé, Maldives",Le mas huni est un petit-déjeuner traditionnel maldivien à base de thon et noix de coco.,Tradition insulaire,9,Viande halal,https://www.196flavors.com/fr/?s=Mas+Huni
190,MarshallIslands,Barramundi and Coconut,"Poisson, lait de coco, riz","Marshall Islands Resort — Majuro, Îles Marshall",Le poisson au lait de coco est central dans la cuisine des Îles Marshall.,Tradition océanienne,9,Poissons,https://www.196flavors.com/fr/?s=Barramundi+and+Coconut
191,Malta,Fenek,"Lapin, vin rouge, ail, herbes",Diar il-Bniet — Malte,"Le fenek (lapin) est considéré comme le plat national maltais, mijoté au vin.",XVIIᵉ siècle,9,Viande,https://www.196flavors.com/fr/?s=Fenek
192,NorthernMarianaIslands,Red Rice & BBQ,"Riz rouge (achiote), poulet ou porc grillé","Surf Club — Saipan, Îles Mariannes du Nord",Le riz rouge accompagné de barbecue est un pilier de la cuisine chamorro.,Tradition locale,11.5,Viande,https://www.196flavors.com/fr/?s=Red+Rice+%26+BBQ
193,Mauritius,Dholl Puri,"Galette de pois cassés, curry, chutney","Dewa & Sons — Port-Louis, Maurice",Le dholl puri est un street food emblématique mauricien d’influence indienne.,XIXᵉ siècle,4.5,Végétarien,https://www.196flavors.com/fr/?s=Dholl+Puri
194,NewCaledonia,Bougna,"Poisson ou poulet, igname, taro, lait de coco","Le Roof — Nouméa, Nouvelle-Calédonie",Le bougna est un plat kanak cuit dans des feuilles de bananier avec lait de coco.,Tradition kanak,11.5,Viande/Poisson,https://www.196flavors.com/fr/?s=Bougna
195,Nauru,Coconut Fish,"Poisson, lait de coco, citron","Bay Restaurant — Yaren, Nauru",Le poisson au lait de coco est l’un des plats traditionnels de Nauru.,Tradition océanienne,6,Poissons,https://www.196flavors.com/fr/?s=Coconut+Fish
196,Palau,Ukaeb,"Crabe de mangrove, lait de coco, légumes","The Taj — Koror, Palaos",Le crabe au lait de coco est très populaire aux Palaos.,Tradition locale,9,Poissons,https://www.196flavors.com/fr/?s=Ukaeb
197,PuertoRico,Mofongo,"Banane plantain frite, ail, porc ou fruits de mer","Café Manolín — San Juan, Porto Rico",Le mofongo est un plat emblématique portoricain à base de plantain écrasé.,XIXᵉ siècle,11,Viande/Poisson,https://www.196flavors.com/fr/?s=Mofongo
198,FrenchPolynesia,Poisson Cru,"Poisson cru, citron vert, lait de coco","Le Lotus — Bora Bora, Polynésie française",Le poisson cru au lait de coco est le plat national polynésien.,Tradition polynésienne,6,Poissons,https://www.196flavors.com/fr/?s=Poisson+Cru
199,SaintVincentAndTheGrenadines,Roasted Breadfruit & Jackfish,"Fruit à pain, poisson frit","Flowt Beach Bar — Kingstown, Saint-Vincent-et-les-Grenadines",Plat traditionnel combinant poisson local et fruit à pain.,Tradition caribéenne,9,Poissons,https://www.196flavors.com/fr/?s=Roasted+Breadfruit+%26+Jackfish
200,BritishVirginIslands,Fish & Fungi,"Poisson, semoule de maïs","Pusser’s — Road Town, Îles Vierges britanniques",Le fish & fungi est un plat national traditionnel.,Tradition insulaire,11,Poissons,https://www.196flavors.com/fr/?s=Fish+%26+Fungi
201,UnitedStatesVirginIslands,Callaloo,"Feuilles vertes, gombo, crabe","Gladys’ Café — St. Thomas, Îles Vierges américaines",Le callaloo est une soupe épaisse populaire dans les Caraïbes.,Tradition caribéenne,9,Poissons,https://www.196flavors.com/fr/?s=Callaloo
202,Vanuatu,Laplap,"Taro ou igname, lait de coco, porc ou poisson","The Beach Bar — Port-Vila, Vanuatu","Le laplap est le plat national du Vanuatu, cuit dans un four souterrain.",Tradition mélanésienne,9,Viande/Poisson,https://www.196flavors.com/fr/?s=Laplap
203,Samoa,Oka I’a,"Poisson cru, lait de coco, citron, oignon","Paddles — Apia, Samoa",L’oka est une salade de poisson cru au lait de coco.,Tradition polynésienne,9,Poissons,https://www.196flavors.com/fr/?s=Oka+I%E2%80%99a
204,StEustatius,Conch Stew,"Conque, tomates, légumes","Old Gin House — Oranjestad, Saint-Eustache",Ragoût de conque typique des Caraïbes.,Tradition insulaire,11.5,Poissons,https://www.196flavors.com/fr/?s=Conch+Stew
205,Saba,Saba Spice Cake,"Farine, sucre, épices, rhum",Brigadoon — Saba,Gâteau aux épices emblématique de Saba.,Tradition locale,4.5,Végétarien,https://www.196flavors.com/fr/?s=Saba+Spice+Cake
206,Martinique,Colombo de Poulet,"Poulet, épices colombo, riz",Le Fromager — Martinique,Le colombo est un curry antillais influencé par l’Inde.,XIXᵉ siècle,11.5,Viande,https://www.196flavors.com/fr/?s=Colombo+de+Poulet
207,CanaryIslands,Papas Arrugadas,"Pommes de terre, sel, mojo rojo/verde","La Hierbita — Tenerife, Canaries","Les papas arrugadas sont servies avec sauce mojo, spécialité des Canaries.",Tradition locale,6,Végétarien,https://www.196flavors.com/fr/?s=Papas+Arrugadas
208,Mayotte,Pilao,"Riz, viande ou poisson, épices locales","Le 5/5 — Mamoudzou, Mayotte",Le pilao est un riz épicé influencé par la culture swahilie.,Tradition locale,9,Viande/Poisson,https://www.196flavors.com/fr/?s=Pilao
209,Reunion,Cari Poulet,"Poulet, tomates, ail, gingembre, curcuma","Le Roland Garros — Saint-Denis, Réunion","Le cari est le plat emblématique réunionnais, cuisiné avec épices et riz.",XIXᵉ siècle,11,Viande,https://www.196flavors.com/fr/?s=Cari+Poulet
210,Guadeloupe,Bokits,"Pain frit, poulet ou morue, crudités","Chez Chantal — Pointe-à-Pitre, Guadeloupe",Le bokit est un sandwich frit très populaire en Guadeloupe.,XXᵉ siècle,6,Viande/Poisson,https://www.196flavors.com/fr/?s=Bokits
211,Fiji,Kokoda,"Poisson cru, citron, lait de coco, oignons",The Wakaya Club — Fidji,Le kokoda est un plat fidjien de poisson mariné au citron et lait de coco.,Tradition mélanésienne,9,Poissons,https://www.196flavors.com/fr/?s=Kokoda