Nation,Name ,Style,Singer,History,link
Afghanistan,Classical music from Afghanistan (Kabul 1960s–70s),Pop afghane,Aryana Sayeed,"Cette chanson illustre la pop de Afghanistan, souvent nourrie d’influences locales (rythmes, langue, mélodies) tout en utilisant une production moderne. Elle circule largement via les médias et les plateformes, et participe à la scène contemporaine du pays. Interprété par Aryana Sayeed, « Banoo e Atash Nesheen » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=JioAXaOKK2g
Angola,Angola Traditional Music,Semba / musique angolaise,Bonga,"Le semba est l’un des styles fondateurs de la musique d’Angola, connu pour ses rythmes dansants et ses guitares. Souvent chanté en langue locale ou en portugais, il raconte la vie quotidienne, l’amour et l’histoire sociale du pays. Interprété par Bonga, « Mona Ki Ngi Xica » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=66ZaCQXlNII
Albania,ALBANIAN FOLK MUSIC 2013,Iso-polyphonie / folk,Saz'iso,"Le répertoire folk de Albania est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Saz'iso, « Tana » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=MNd8CRa48Uk
UnitedArabEmirates,United Arab Emirates — Oud (Traditional Music),Pop arabe,Hussain Al Jassmi,"Cette chanson illustre la pop de UnitedArabEmirates, souvent nourrie d’influences locales (rythmes, langue, mélodies) tout en utilisant une production moderne. Elle circule largement via les médias et les plateformes, et participe à la scène contemporaine du pays. Interprété par Hussain Al Jassmi, « Boshret Kheir » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=gvrbMN6aifM
Argentina,Libertango,Tango nuevo,Astor Piazzolla,"Le tango est né à la fin du XIXᵉ siècle dans le Río de la Plata et s’est imposé comme un symbole culturel de Argentina. Dans sa version moderne, il mêle mélodies nostalgiques, bandonéon et arrangements plus audacieux, entre danse et concert. Interprété par Astor Piazzolla, « Libertango » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=MepPfI7ebMY
Armenia,Dle Yaman,Duduk / musique arménienne,Djivan Gasparyan,"Ce titre est associé à la scène musicale de Armenia (Duduk / musique arménienne). Il met en avant des sonorités typiques du pays et s’écoute aussi bien lors d’événements culturels que dans la vie quotidienne. Interprété par Djivan Gasparyan, « Dle Yaman » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=UPq8bHs2svU
Australia,Marryuna,Hip-hop / Indigenous pop,Baker Boy,"Chanté en Yolngu Matha, ce titre célèbre la culture aborigène et la fierté des racines dans une Australie moderne qui peine encore à les reconnaître.",https://www.youtube.com/watch?v=afQcYH2nwoM
Austria,Le Beau Danube Bleu,Valse classique,Johann Strauss II,"Ce titre est associé à la scène musicale de Austria (Valse classique). Il met en avant des sonorités typiques du pays et s’écoute aussi bien lors d’événements culturels que dans la vie quotidienne. Interprété par Johann Strauss II, « Le Beau Danube Bleu » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=FLUYxOSZpjg
Azerbaijan,Ayrılık,Mugham / folk,Rashid Behbudov,"La musique traditionnelle de Azerbaijan s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Rashid Behbudov, « Ayrılık » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=8gIO7k1Cd2o
Burundi,Sambolera,World / folk burundais,Khadja Nin,"Les musiques traditionnelles de Burundi reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Khadja Nin, « Sambolera » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=PvfTO2XpZKU
Belgium,Niet Voor De Views,Traditional / Folk,Zwangere Guy,"Représentant du rap de Bruxelles, il dépeint la réalité brute des quartiers, la précarité et les divisions linguistiques/sociales de la capitale belge.",https://www.youtube.com/watch?v=wk9pwa_nOIA
Benin,Agolo,Traditional / Folk,Angélique Kidjo,"Les musiques traditionnelles de Benin reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Angélique Kidjo, « Agolo » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=4gVftWrsGLk
BurkinaFaso,Djôn’maya,Traditional / Folk,Victor Démé,"Les musiques traditionnelles de BurkinaFaso reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Victor Démé, « Djôn’maya » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=jx_xlyvgPOA
Bangladesh,Dama Dam Mast Qalandar,Traditional / Folk,Runa Laila,"La musique traditionnelle de Bangladesh s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Runa Laila, « Dama Dam Mast Qalandar » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=xliCqnQJqBM
Bulgaria,Pritouritze Planinato,Traditional / Folk,Le Mystère des Voix Bulgares,"Le répertoire folk de Bulgaria est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Le Mystère des Voix Bulgares, « Pritouritze Planinato » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=mII0NXGM6uE
BosniaAndHerzegovina,Love in Rewind,Traditional / Folk,Dino Merlin,"Le répertoire folk de BosniaAndHerzegovina est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Dino Merlin, « Love in Rewind » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=HORHVZURyUA
Belarus,Kasiu Jas Kaniushynu,Traditional / Folk,Pesniary,"Le répertoire folk de Belarus est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Pesniary, « Kasiu Jas Kaniushynu » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=zzyr5PLUfBk
Belize,Wátina,Traditional / Folk,Andy Palacio,"La musique traditionnelle de Belize reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Andy Palacio, « Wátina » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=QZ01Kcx8k6c
Bolivia,Llorando se fue,Traditional / Folk,Los Kjarkas,"La musique traditionnelle de Bolivia reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Los Kjarkas, « Llorando se fue » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=k69DmYvUPD8
Brazil,Etérea,Traditional / Folk,Criolo,"Une icône du hip-hop de São Paulo qui délaisse ici le rap pour une ode à la liberté sexuelle et aux droits LGBTQ+, dénonçant le conservatisme ambiant.",https://www.youtube.com/watch?v=anBTZLoWhJg
BruneiDarussalam,Samalindang,Traditional / Folk,Maria Aires,"La musique traditionnelle de BruneiDarussalam s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Maria Aires, « Semenjak Mengenalmu » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=eNsKALRLWfc
Bhutan,Melody of Lopen Jigme Drukpa,Traditional / Folk,Jigme Drukpa,"La musique traditionnelle de Bhutan s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Jigme Drukpa, « Lopen Phurba » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=VV86w9SfEYw
Botswana,Kulenyane,Traditional / Folk,Culture Spears,"Les musiques traditionnelles de Botswana reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Culture Spears, « Kulenyane » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=3_f3QzAyH5I
CentralAfricanRepublic,Samba,Traditional / Folk,Zokela,"Les musiques traditionnelles de CentralAfricanRepublic reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Zokela, « Samba » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=mr4EqI65Mro
Canada,Mehcinut,Traditional / Folk,Jeremy Dutcher,Un artiste Wolastoqiyik qui réinvente les chants de ses ancêtres (en langue menacée) pour réclamer une place pour les Premières Nations dans le futur du pays.,https://www.youtube.com/watch?v=6pDRpDjrBZE
Switzerland,Déjeuner en paix,Traditional / Folk,Stephan Eicher,"Le répertoire folk de Switzerland est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Stephan Eicher, « Déjeuner en paix » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=S7cP8jGMtAE
China,Blue and White Porcelain,Traditional / Folk,Jay Chou,"La musique traditionnelle de China s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Jay Chou, « Blue and White Porcelain » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=Z8Mqw0b9ADs
CôteD'Ivoire,Traditional / Folk — CôteD'Ivoire,Traditional / Folk,Traditional / Various,"Les musiques traditionnelles de CôteD'Ivoire reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe.",https://www.youtube.com/watch?v=CKUZ-ZIUiwg
Cameroon,Soul Makossa,Traditional / Folk,Manu Dibango,"Les musiques traditionnelles de Cameroon reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Manu Dibango, « Soul Makossa » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=PblSmVR7hCk
DemocraticRepublicOfCongo,Yolele,Traditional / Folk,Papa Wemba,"Les musiques traditionnelles de DemocraticRepublicOfCongo reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Papa Wemba, « Yolele » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=QemzwQ839tE
RepublicOfCongo,État-Major,Traditional / Folk,Extra Musica,"Les musiques traditionnelles de RepublicOfCongo reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Extra Musica, « État-Major » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=nm17KqskLdo
Colombia,De Donde Vengo Yo,Traditional / Folk,ChocQuibTown,"La musique traditionnelle de Colombia reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par ChocQuibTown, « De Donde Vengo Yo » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=yMS4J6Gp6e4
CostaRica,Drummer Boy,Traditional / Folk,Debi Nova,"La musique traditionnelle de CostaRica reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Debi Nova, « Drummer Boy » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=-pumthUVlio
Cuba,Chan Chan,Traditional / Folk,Buena Vista Social Club,"La musique traditionnelle de Cuba reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Buena Vista Social Club, « Chan Chan » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=tGbRZ73NvlY
CzechRepublic,Symphony No. 9,Traditional / Folk,Antonín Dvořák,"Le répertoire folk de CzechRepublic est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Antonín Dvořák, « Symphony No. 9 » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=jOofzffyDSA
Germany,Das Model,Traditional / Folk,Kraftwerk,"Le répertoire folk de Germany est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Kraftwerk, « Das Model » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=o0iga1eNgvA
Djibouti,Gisinka,Traditional / Folk,Abayazid Ali,"Les musiques traditionnelles de Djibouti reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Abayazid Ali, « Gisinka » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=HjLMAYpu7tg
Denmark,Final Song,Traditional / Folk,MØ,"Le répertoire folk de Denmark est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par MØ, « Final Song » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=WUcXQ--yGWQ
Dominican Republic,Burbujas de Amor,Traditional / Folk,Juan Luis Guerra,"La musique traditionnelle de Dominican Republic reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Juan Luis Guerra, « Burbujas de Amor » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=eaBk4-UT53U
Algeria,A vava inouva,Traditional / Folk,Idir,"Les musiques traditionnelles de Algeria reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Idir, « A vava inouva » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=8qcSdqc7QYo
Ecuador,Nuestro Juramento,Traditional / Folk,Julio Jaramillo,"La musique traditionnelle de Ecuador reflète souvent un mélange d’héritages indigènes, africains et européens. Elle se joue lors de fêtes populaires, avec des rythmes et instruments caractéristiques selon les régions. Interprété par Julio Jaramillo, « Nuestro Juramento » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=N0X0a8resSU
Egypt,Enta Omri,Traditional / Folk,Umm Kulthum,"Les musiques traditionnelles de Egypt reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Umm Kulthum, « Enta Omri » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=XPGHpBOt5sE
Eritrea,Habibi (Eritrean Music),Traditional / Folk,Feven Tsegay,"Les musiques traditionnelles de Eritrea reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Helen Meles, « Habibi » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=HIB4sJ-gIqU
Estonia,Spiegel im Spiegel,Traditional / Folk,Arvo Pärt,"Le répertoire folk de Estonia est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Arvo Pärt, « Spiegel im Spiegel » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=TJ6Mzvh3XCc
Ethiopia,Tezeta,Traditional / Folk,Mulatu Astatke,"Les musiques traditionnelles de Ethiopia reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Mulatu Astatke, « Tezeta » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=Wy-v-FgiUD8
Finland,Sandstorm,EDM / Trance,Darude,"Le répertoire folk de Finland est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale. Interprété par Darude, « Sandstorm » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=y6120QOlsfU
Gabon,L'amour d'une mère,Musique gabonaise / Afro-pop,Patience Dabany,"Les musiques traditionnelles de Gabon reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Patience Dabany, « L'amour d'une mère » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=nPOru57bErc
UnitedKingdom,Greensleeves,English folk (traditional),Traditional / Various,"Le répertoire folk de UnitedKingdom est lié aux danses et aux chants régionaux, transmis de génération en génération. On y retrouve des instruments acoustiques (cordes, vents) et des textes qui parlent d’identité, de village et d’histoire locale.",https://www.youtube.com/watch?v=JyUQ87blzI4
Georgia,Tsintskaro,Polyphonie géorgienne / folk,Hamlet Gonashvili,"La musique traditionnelle de Georgia s’appuie sur des mélodies modales et des instruments locaux, joués lors de fêtes et cérémonies. Elle transmet des histoires (amour, exil, légendes) et varie selon les régions, entre chants populaires et répertoires plus savants. Interprété par Hamlet Gonashvili, « Tsintskaro » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=r3pTaSe4c-s
Ghana,Heaven,Highlife / Afro-funk,Ebo Taylor,"Les musiques traditionnelles de Ghana reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Ebo Taylor, « Heaven » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=5YEKSuC0nI8
Guinea,Yéké Yéké,Afro-pop / world,Mory Kanté,"Les musiques traditionnelles de Guinea reposent souvent sur la polyrythmie, les percussions et le chant communautaire. Elles accompagnent les rites, les mariages et les événements publics, en transmettant la mémoire et les récits du groupe. Interprété par Mory Kanté, « Yéké Yéké » est souvent cité comme un morceau repère pour découvrir ce style.",https://www.youtube.com/watch?v=BVmS0SSSdWM
